"name" "value"
"Tuareg Ahaggar" "Patrilocal"
"Asben" "Patrilocal"
"Azjer" "NA"
"Udalan" "Patrilocal"
"Ifora" "Matrilocal"
"Daza" "Patrilocal"
"Drawa" "NA"
"Chaambra" "Patrilocal"
"Delim" "Patrilocal"
"Kunta" "Patrilocal"
"Trarza" "Patrilocal"
"Zenaga" "Patrilocal"
"Ancient Egypt" "Neolocal"
"Beraber" "Patrilocal"
"Shawiya" "Patrilocal"
"Tekna" "Patrilocal"
"Zekara" "Patrilocal"
"Guanche" "Patrilocal"
"Algerians" "Patrilocal"
"Hamama" "Patrilocal"
"Hamyan" "Patrilocal"
"Jebala" "Patrilocal"
"Moroccans" "Patrilocal"
"Nail" "Patrilocal"
